index,product,category,sub_category,brand,sale_price,market_price,type,rating,description,soup
2069,Absorbent Cotton Wool,"['Beauty', 'Hygiene']","['Health', 'Medicine']",Prabhat,75.0,75.0,['Everyday Medicine'],3.8,"AbsorbentÂ Cotton is also known as Surgical Cotton orÂ Cotton Wool  For Beauty tips, tricks & more visitÂ https://bigbasket.blog/",Beauty Hygiene Health Medicine Prabhat Everyday Medicine
2070,Aloe Hydro Gel,"['Beauty', 'Hygiene']",['Skin Care'],Aloederm,100.0,125.0,['Face Care'],3.9,"Aloe Vera gel (Fresh stabilised and cold processed) with Natural Chlorophyll is used for treating facial skin dryness, available in 50 gm Jar. Made from supreme quality materials like fresh stabilised, cold processed aloe juice containing 51% concentration which acts as anti-inflammatory, anti-irritant and has healing abilities. Chlorophyll acts as an antioxidant, anti-inflammatory and antimicrobial agent. It has a mild deodorising effect. It is recommended in Facial Dryness and Post-photo therapy (Laser resurfacing).",Beauty Hygiene Skin Care Aloederm Face Care
2071,Pooja - Oil,"['Cleaning', 'Household']",['Pooja Needs'],Porna,70.0,70.0,"['Lamp', 'Lamp Oil']",4.3,"Pooja Lamp Oil Is The Wonderful Oil For Your Lamp. It Has A Great Aroma As Well. Not Just On A Daily Basis, But The Belief Of Lighting A Lamp Also Extends To Favorable Occasions And Functions, Be It Spiritual Or Social. Lighting A Lamp Stands For Driving Away That Night. The Wick Is Most Important Object Which Is Using To Light An Oil Lamp And In Fact Wick Is A Sign Of Power And Brightness Where A Lamp Emits Lighting.",Cleaning Household Pooja Needs Porna Lamp Lamp Oil
2072,"Henna Shampoo - Restores Natural Colour Of Hair, Prevents Greying","['Beauty', 'Hygiene']",['Hair Care'],Jiva Ayurveda,150.0,150.0,"['Shampoo', 'Conditioner']",4.5,"A unique blend of henna and other herbal extracts that cleanse the scalp. Henna gives a beautiful hue to the hair, providing a glossy look and a satiny feel. Lemon is cleansing in nature and removes dirt and excessive oils.",Beauty Hygiene Hair Care Jiva Ayurveda Shampoo Conditioner
2075,Mandarin Face Mist,"['Beauty', 'Hygiene']",['Skin Care'],Naturals,100.0,100.0,['Face Care'],5.0,"Treat your skin to this O’ so refreshing citrusy face mist. Mandarin’s natural Vitamin C and antioxidants refresh and improve your skin tone. It hydrates, moisturises and soothes damaged skin for an instant glow! Hydrating, soothing, and refreshing - you can rely on this mandarin orange face mist for instantly refreshed and glowing skin. The solution’s antioxidant properties and Vitamin C improve your skin tone and moisture level in no time.",Beauty Hygiene Skin Care Naturals Face Care
2076,100% Natural & Pure Coconut Oil - Unrefined,"['Foodgrains', 'Oil', 'Masala']","['Edible Oils', 'Ghee']",Nature Way,335.0,335.0,['Other Edible Oils'],4.1,"Nature Way Coconut Oil is 100% pure & natural, made from handpicked premium edible copra (dried coconuts) from South Indian coconuts. Coconut oil contains essential fatty acids & triglycerides also known as good fat. Regular use of Coconut oil helps in preventing hair breakage, stimulates hair growth & moisturises the scalp. By nature, coconut oil is antibacterial & massaging gently over hair/skin improves blood circulation. Nature Way Unrefined Coconut Oil is free from chemical preservatives, artificial colours & fragrance, liquid paraffin & argemone oil.",Foodgrains Oil Masala Edible Oils Ghee Nature Way Other Edible Oils
2077,Potato Crisps Pizza flavour,"['Snacks', 'Branded Foods']","['Snacks', 'Namkeen']",Pringles,91.08,99.0,"['Chips', 'Corn Snacks']",4.1,"Pringles brings to you Pizza Flavour Potato Chips. A perfect snack when you are craving for a tangy snack. It makes a perfect alternative for when you are craving for a pizza. Everyone loves pizza and potato, we bring to you a combination of both. Serve it at your parties and everyone will love, and enjoy it. It is a instant light, crispy pizza potato chips. Now enjoy pizza just it right out of the pack without having to wait for it. It has a irresistible taste and is seasoned from edge to edge for a perfect flavour in every bite.",Snacks Branded Foods Snacks Namkeen Pringles Chips Corn Snacks
2078,Flaxseed Oil - Cold Pressed,"['Gourmet', 'World Food']","['Oils', 'Vinegar']",Health 1st,595.0,595.0,"['Flavoured', 'Other Oils']",4.1,"Flaxseed Oil is the richest source of Omega 3 essential fatty acids. Helps reduce LDL's (""bad"" cholesterol) Rich in phytosterol, a powerful antioxidant, helping prevent cancer. High fiber content aiding in digestion, Anti-inflammatory, Extremely healthy with many therapeutic and medicinal benefits.",Gourmet World Food Oils Vinegar Health 1st Flavoured Other Oils
2080,Pickle - Red Stuffed Chilli,"['Snacks', 'Branded Foods']","['Pickles', 'Chutney']",Mother's Recipe,138.0,138.0,['Other Veg Pickle'],4.2,Mothers Recipe Stuffed Red Chilli Pickle is a usual pickle recipe prepared by stuffing a masala mix into slit red chillies and then preserving the pickle or achaar in oil and salt under sun.,Snacks Branded Foods Pickles Chutney Mother's Recipe Other Veg Pickle
2081,Olive OilÂ - Pure,"['Gourmet', 'World Food']","['Oils', 'Vinegar']",Disano,2999.08,5395.0,"['Pure', 'Pomace Olive Oil']",4.5,"Disano Olive oil is obtained from carefully selected high quality olives. Its delicate taste and aroma is ideal for all Indian cooking especially for deep frying, roasting, sauteing and grilling.",Gourmet World Food Oils Vinegar Disano Pure Pomace Olive Oil
2083,Absolute Under Cover Gel Face Primer,"['Beauty', 'Hygiene']",['Makeup'],Lakme,562.5,750.0,['Eyes'],4.1,"Lakmé Absolute Undercover Gel Primer •Lakmé Absolute presents the all-new Undercover Gel Primer - your go-to product to create the perfect canvas for makeup application. This transparent gel based primer has a gel texture that gives you an even looking skin and smooth finish. It blends seamlessly for a more vibrant, colour true finish. It hides skin imperfections and gives an even skin tone. Enriched with Vitamin E, it nourishes skin. Locks in makeup for a longer period of time. It is tinted with Gel texture, has moisturizing benefits that can help easy makeup application on dry skin. Key Features : -Transparent and smooth gel primer -Enriched with Vitamin E that nourishes skin -Locks in makeup for a long period of time -Makes skin even and creates the perfect base About Lakmé : Lakmé is India’s No. 1 colour cosmetics brand offering a wide range of high-end, world-class makeup and skincare products. Lakmé has a vast product range specially crafted by experts for Indian skin. The brand has also been redefining fashion in India for over 16 years with Lakmé Fashion Week, India’s premier fashion event. Buy your Lakme Absolute Undercover Gel Primer now !!!",Beauty Hygiene Makeup Lakme Eyes
2084,K Energy Bar - 35% Fruits & Grains - Berry Yoghurty,"['Snacks', 'Branded Foods']",['Breakfast Cereals'],Kelloggs,420.0,420.0,"['Granola', 'Cereal Bars']",4.8,"Be at your best anytime, anywhere with Kellogg’s Berry Yoghurty K-Energy Bar. We have crafted this delicious bar to give you sustained energy from 35% fruits and grains. Lose yourself in the taste of yummy cranberries and strawberries with multigrain goodness on a layer of yoghurty coating. Grab a Kellogg’s Berry Yoghurty K-Energy Bar anytime during the day – Pre or Post workouts, between meals, during your office calls or even on the go.",Snacks Branded Foods Breakfast Cereals Kelloggs Granola Cereal Bars
2085,"Chips - Pita, Parmesan And Mediterranean","['Gourmet', 'World Food']","['Snacks', 'Dry Fruits', 'Nuts']",Appitas,40.0,40.0,"['Nachos', 'Chips']",3.6,"Tired of potato chips and nachos? We have found the perfect snack for your munchies! Appitas Parmesan & Mediterranean Herbs Pita Chips are baked, multigrain pita chips loaded with all the goodness of Parmesan cheese & Mediterranean herbs but yet remain low in carbs and fat so you do not need to worry about cheating on your diet whenever you feel like having a midnight snack. These chips are the perfect party snack to serve with any dips and are delicious enough that you can eat the entire packet on their own! So what are you waiting for? Try them!",Gourmet World Food Snacks Dry Fruits Nuts Appitas Nachos Chips
2086,Oats,"['Snacks', 'Branded Foods']",['Breakfast Cereals'],Kelloggs,260.0,260.0,"['Oats', 'Porridge']",4.4,Oats is a wonder grain that has more soluble fibre than some grains like Wheat and Rice. Eating healthy oats may help you avoid unhealthy foods at irregular times.,Snacks Branded Foods Breakfast Cereals Kelloggs Oats Porridge
2089,Strainer White PVC Handle - 10cm,"['Kitchen', 'Garden', 'Pets']",['Kitchen Accessories'],Fackelmann,179.0,199.0,"['Strainer', 'Ladle', 'Spatula']",3.4,"Fackelmann Strainer 10 cm, White PVC Handle products are extremely durable material makes it resistant to high heat and usage levels. Made to use every day for your meal preparations. It is anti-rust and extremely durable, ideal for households that cook regularly.",Kitchen Garden Pets Kitchen Accessories Fackelmann Strainer Ladle Spatula
2091,Power Pocket - Bathroom Air Fragrance,"['Cleaning', 'Household']","['Fresheners', 'Repellents']",Aer,242.0,275.0,['Air Freshener'],4.3,"Godrej aer pocket - pack of 5 is an assorted pack of 5 unique bathroom air fresheners. It contains one each of our variants - Misty Morning Meadows, Fresh Lush Green, Bright Tangy Delight, Violet Valley Bloom and Petal Crush Pink. You can now try them all and choose the one that delights you the most. Godrej aer pocket Say hello to Godrej aer pocket, a range of bathroom air freshener available in 5 delightful fragrances. Its unique power gel technology keeps your bathroom fragrant for 3-4 weeks and ensures that its fragrance reaches every corner of your bathroom. A must-have stock item in your pantry & toilet, Godrej aer pocket is so easy to use, that you simply have to unwrap the packet and hang it with the hook provided. That's it, you are done. Godrej aer pocket works 24x7 without any effort, so you can walk-in to a refreshing fragrance every-time you step into your bathroom.",Cleaning Household Fresheners Repellents Aer Air Freshener
2092,Potato Finger Chilly,"['Snacks', 'Branded Foods']","['Snacks', 'Namkeen']",A-1 Chips,50.0,50.0,"['Namkeen', 'Savoury Snacks']",3.7,A-1 Made with High Quality ingredients to make snack time better.,Snacks Branded Foods Snacks Namkeen A-1 Chips Namkeen Savoury Snacks
2094,"7X Beard Oil - The Woods, 7 Premium Oils Blend Supports Beard Growth & Nourishment","['Beauty', 'Hygiene']","[""Men's Grooming""]",Man Arden,399.0,399.0,"['Moustache', 'Beard Care']",4.7,"Man Arden ultimate 7X beard oil contains 100% natural & Pure 7 super-ingredients that will moisturize, promote faster beard growth, soften and condition your beard, moustache or goatee and make sure that it looks and feels incredible! Man Arden 7X beard oil is a seductive and irresistible The Woods blend fragrant fused with the care to transform wild undernourished beards into soft, shiny and tameable beards. Our beard oil promises to moisturise, treat split ends, eliminate nasty flakes, De-tangles hair, Promote faster beard growth, Add glorious shine and so much more! You can even use it on dry scalp. Face or hair! Keeps Your Beard & Mooch Skin Feeling Its Best: Our easy to use formula supports the overall health of your beard and helps keep your skin from itching too. Use it in conjunction with our Beard Wash and Beard Wax / Beard Balm for the best results.",Beauty Hygiene Men's Grooming Man Arden Moustache Beard Care
2095,Organic - Ragi Flour/Ragi Hittu,"['Foodgrains', 'Oil', 'Masala']",['Organic Staples'],24 Mantra,59.0,65.0,['Organic Flours'],4.1,"Finger millet belongs to the family Poaceae and is known as Ragi in India. Ragi flour in Karnataka is mostly used to make balls, popularly known as “ragi mudda”. 24 Mantra Organic Ragi flour/ Ragi Atta is made from unadulterated whole grain. These Ragi grains are not colored with any artificial colors. Ragi is a good source of complex carbohydrates, a fair source of protein and a good source of fiber and very low in fat. Ragi flour/ Ragi Atta is rich in fiber and contributes towards fullness which contributes towards achieving ideal body weight.",Foodgrains Oil Masala Organic Staples 24 Mantra Organic Flours
2096,Barbeque Sauce,"['Gourmet', 'World Food']","['Cooking', 'Baking Needs']",SPICHI,62.5,125.0,"['Curry Paste', 'Coconut Milk']",2.5,"Spichi Barbeque Sauce is a smoky-sweet sauce used for grilling, basting and marination. This sauce has been made keeping in mind BBQ Sauce enthusiasts. It has a shelf life of 12 months and needs only to be stored in ambient temperature. It is synonymous with Indian Chinese cooking and used to make a variety of flavoursome dishes. This product is 100% Vegetarian. Eatworks (Spichi) is one of the leading brands of sauces and cooking pastes in India. We are proud suppliers to some of the biggest global restaurant, hotels, cinema halls and cafes and ensure the best quality standards. Our manufacturing partners have internationally certified production facilities and expertise in the food processing industry, we proudly present to you the best and authentic tasting range of sauces and cooking pastes produced in India. Our single-serve packaging helps in reducing wastage and ensuring using products as and when required.",Gourmet World Food Cooking Baking Needs SPICHI Curry Paste Coconut Milk
2098,Organic Apple Cider Vinegar With Mother,"['Gourmet', 'World Food']","['Oils', 'Vinegar']",GoodDiet,402.5,575.0,"['Balsamic', 'Cider Vinegar']",4.1,"GoodDiet Organic Apple Cider Vinegar is brewed from delicious Himalayan Apples & contains a strand of ""Mother"" as proof of unfiltered vinegar. Apple cider vinegar is the most popular type of vinegar which has been used in culinary and medicinal purposes for ages. It has antibacterial and antifungal properties. It also helps to lower the blood sugar and supports weight loss.",Gourmet World Food Oils Vinegar GoodDiet Balsamic Cider Vinegar
2099,Organic - Black Pepper Powder,"['Foodgrains', 'Oil', 'Masala']",['Organic Staples'],Phalada Pure & Sure,160.0,160.0,"['Organic Masalas', 'Spices']",4.5,"Black Pepper Powder is one of the most commonly used spice and seasoning across the world. Phalada Pure and sure is a range of certified organic food products stemmed from our aim of providing complete solutions across organic supply chain. By offering end consumers quality organic food products which are sourced directly from farmers, we make sure our involvement in the supply chain from farm to hands. Our products guarantee purity and reach your hands without the use of chemical fertilizers, additives or artificial ingredients. We go one step further to satisfy our customers- In areas where our supplies are limited, we source premium organic products from across the globe and deliver a complete range of pure products that sure serves you the best. By sowing our vision, we harvest quality and spread healthy organic practices.",Foodgrains Oil Masala Organic Staples Phalada Pure & Sure Organic Masalas Spices
2100,Satay BBQ Sauce,"['Gourmet', 'World Food']","['Sauces', 'Spreads', 'Dips']",Tai Hua,247.5,275.0,"['Thai', 'Asian Sauces']",3.6,This sauce is a perfect sauce for any barbeque dish. Tai Hua Ready-To-Cook sauces are prepared from quality ingredients. They are created with cooking convenience and ease in mind. They offer a quick and easy way to prepare meals without losing the authentic taste of the dish. This sauce contains no MSG!,Gourmet World Food Sauces Spreads Dips Tai Hua Thai Asian Sauces
2101,Refresh Body Lotion,"['Beauty', 'Hygiene']",['Skin Care'],Parachute Advansed,90.0,90.0,['Body Care'],4.1,"Parachute Advansed Refresh body lotion is formulated to keep your skin cool and refreshed during the summers. Refresh body lotion is enriched with the goodness of Coconut Milk, Cool Mint Extracts and 100% Natural moisturizers that nourishes your skin from deep within and keeps your skin refreshed. Body Lotion that quickly gets absorbed into the skin, providing skin with instant relief from the summer heat. It has double sunscreens that protect your skin from the harmful effects of the sun too. If you do not like the greasiness that moisturizers leave behind in summers, you will be happy to know that this lotion nourishes and rejuvenates your skin without making it oily or sticky.For refreshed body skin, apply daily all over your body. This body lotion is suitable for use by the entire family. *Contains Moisturizers from natural resources.",Beauty Hygiene Skin Care Parachute Advansed Body Care
2102,Rusk - Foxtail Millet,"['Bakery', 'Cakes', 'Dairy']","['Cookies', 'Rusk', 'Khari']",e-millet,30.0,30.0,['Rusks'],3.7,"Contains the goodness of 9 grains. Millet rusk is healthy alternative to conventional snacks. They have very low fat content and are perfect mates for tea/coffee time. These do not contain maida, preservative, artficial color or flavor.",Bakery Cakes Dairy Cookies Rusk Khari e-millet Rusks
2104,Super Lite Advanced Super Saver Pack,"['Foodgrains', 'Oil', 'Masala']","['Edible Oils', 'Ghee']",Sundrop,490.0,490.0,"['Sunflower', 'Rice Bran Oil']",4.4,"EAN Code: 8901515102904  Manufacturer Name & Address: 
Agro Tech Foods Ltd, 31Sarojini Devi Road, Secb-500003  Country of origin: India  Best before 19-10-2021 For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034 | Email: customerservice@bigbasket.com",Foodgrains Oil Masala Edible Oils Ghee Sundrop Sunflower Rice Bran Oil
2105,Air Freshener Spray Bottle - Hills of Munnar,"['Cleaning', 'Household']","['Fresheners', 'Repellents']",Air wick,146.0,161.0,['Air Freshener'],4.0,"We know that you put your heart and soul into making your home beautiful. You connect deeply with the sights and sounds that surround you everyday, which you have gathered as a child or on your travel across India. The new Airwick Scents of India air fresheners are inspired by the beautiful fragrances one can find in India that is guaranteed to add to the beauty of your home by elevating and instantly freshening the air.",Cleaning Household Fresheners Repellents Air wick Air Freshener
2107,Biolage Colorlast Orchid Colour Protecting Masque,"['Beauty', 'Hygiene']",['Hair Care'],Matrix,475.0,475.0,"['Hair', 'Scalp Treatment']",3.5,"Colour-treated hair often needs intense moisturization to help maintain its tone and colour. Inspired by natures fade-defying orchid, Biolage Colorlast Mask helps maintain the colour depth, tone and shine for vivid colour-treated hair. Wraps strands in 360-degree nourishment for extra conditioning. It also silkens and adds shine to your hair. This paraben and silicone free mask for colour-treated hair is formulated specifically for colour-treated hair. These state of the art formulas, inspired by nature, help protect hair, balance moisture and even out the hairs surface for saturated, shiny, vibrant colour that stays truer.",Beauty Hygiene Hair Care Matrix Hair Scalp Treatment
2108,"Health Shampoo - With Henna & Amla, For Problem Free Hair","['Beauty', 'Hygiene']",['Hair Care'],Dabur Vatika,145.0,145.0,"['Shampoo', 'Conditioner']",4.1,"New Dabur Vatika Naturals Health Shampoo, comes with the goodness of (Satt Poshan 7 natural ingredients) - Henna, Shikakai, Olive, Almond, Hibiscus, Amla, Reetha - provides gentle cleansing and conditioning to give you smooth, shiny and nourished hair.",Beauty Hygiene Hair Care Dabur Vatika Shampoo Conditioner
2109,So Soft Wet Wipes - Rose Flavour,"['Cleaning', 'Household']","['Disposables', 'Garbage Bag']",Origami,40.0,40.0,['Toilet Paper'],4.4,"Keep your skin clean and healthy during your frequent travels by using this pack of wet wipes from Origami. By cleansing, moisturizing, deodorizing, and soothing your skin, they promote healthy and beautiful skin. These anti-bacterial wipes with a pleasant fragrance make your skin clean and fresh on the go!",Cleaning Household Disposables Garbage Bag Origami Toilet Paper
2110,Storage Plastic Container With Pink Lid,"['Kitchen', 'Garden', 'Pets']","['Storage', 'Accessories']",Laplast,149.0,299.0,['Containers Sets'],3.1,These mini storage containers are made of best quality food grade plastic material and are ideal for the modern kitchen with space-saving quality. It is ideal for a small quantity of food storage.,Kitchen Garden Pets Storage Accessories Laplast Containers Sets
2112,Sink Brush - Small,"['Cleaning', 'Household']","['Mops', 'Brushes', 'Scrubs']",Polyguards,55.0,55.0,"['Toilet', 'Other Brushes']",4.0,"This brush finds effective use in the cleaning of kitchen sinks, wash basins and also crockery. It can also be used for cleaning utensils/vessels or flasks.",Cleaning Household Mops Brushes Scrubs Polyguards Toilet Other Brushes
2116,Orange Marmalade Jam,"['Snacks', 'Branded Foods']","['Spreads', 'Sauces', 'Ketchup']",Kissan,160.0,160.0,"['Jam', 'Conserve', 'Marmalade']",4.3,"A powerhouse of taste and health, Kissan Orange Marmalade is not just a blend of freshly grown ripe orange pulp, but also has bursts of delicious shredded orange peels. This gives it a bitter-sweet taste that will only leave you craving for more. Kissan Orange Marmalade Jam is best partnered with bread to provide yummy on the go breakfast for your kid every morning. Think of different ways to eat it in. Spread it on a crunchy cracker, roll it up in a chapatti, drink it stirred in milk or whip up a bread and Jam delight for your kids breakfast with an assortment of flavors. Make your kids breakfast time an orangey delight! Started in 1934, Kissan is a popular brand in India. Kissan is more than just jams, ketchups and squashes. Its all about kids eating happily & growing up happily. Kissan Jams yummy and fruit based sweet spread keeps both, mothers & kids happy. The brands reassurance to mothers is that they can make breakfast times fun yet wholesome every morning with the Kissan range of fruit jams that are made with 100% real fruit Ingredients! Remember craving for something Orangey? This is your answer to that in a packed sweet spread bottle.

Features and Benefits:
• Kissan Orange Marmalade Jam is made with 100% real fruit Ingredients
• Is easy to use and can be enjoyed on the go every morning
• Enjoy it best with Bread, Roti, Paratha or Dosa for a wholesome breakfast
• Turns boring breakfast into an empty plate
• Spreads easily with a spoon or a knife
• Carefully sealed in impermeable glass packaging to retain the best flavour and taste of product",Snacks Branded Foods Spreads Sauces Ketchup Kissan Jam Conserve Marmalade
2118,"Reusable Face Mask - 3 Ply, Embroidered, Linen","['Beauty', 'Hygiene']","['Health', 'Medicine']",KNM,199.0,275.0,"['Face Masks', 'Safety Gears']",2.9,"Facemasks help limit the spread of germs. When someone talks, coughs or sneezes they may release tiny drops into the air that can infect others. If someone is ill, face masks can reduce the number of germs that the wearer releases and can protect other people from becoming sick. A face mask also protects the wearer's nose and mouth from splashes or sprays of body fluids. This 3 ply mask includes a non-woven filter to protect the wearer from dust, pollution, and extraneous particles. The embroidery on the linen becomes a beautiful accessory to the wearer's clothing.",Beauty Hygiene Health Medicine KNM Face Masks Safety Gears
2119,Vermicelli  - Roasted,"['Snacks', 'Branded Foods']","['Noodle', 'Pasta', 'Vermicelli']",Double Horse,33.0,33.0,['Vermicelli'],4.2,Double Horse Fine Roasted Vermicelli is made by a special process that ensures it is non-sticky and doesn't form clumps.,Snacks Branded Foods Noodle Pasta Vermicelli Double Horse Vermicelli
2121,Multi-Purpose Wipes,"['Beauty', 'Hygiene']",['Skin Care'],Paree Pariz,70.0,70.0,['Face Care'],4.5,"Pariz Multi-Purpose wipes are infused with aloe vera extracts, essential oils and vitamin E extracts which besides having incredible cleansing power, rejuvenate the skin without much effort by soaking up excess oil from the skin leaving it bright and gladden. It is easy to carry and has no alcohol content. It is paraben-free.",Beauty Hygiene Skin Care Paree Pariz Face Care
2122,Knife - Tomato Cutting,"['Kitchen', 'Garden', 'Pets']",['Kitchen Accessories'],Cartini by Godrej,79.0,85.0,"['Knives', 'Peelers']",3.7,Too bugged by cutting tomatoes and making a mess around? Use this sleek knife crafted by Godrej exclusively for tomatoes and never look back.,Kitchen Garden Pets Kitchen Accessories Cartini by Godrej Knives Peelers
2124,Strawberry Soap,"['Beauty', 'Hygiene']","['Bath', 'Hand Wash']",Khadi Natural,70.0,70.0,"['Bathing Bars', 'Soaps']",4.2,Khadi Natural presents Strawberry Soap to delight you with the fruity scent and leave you sweetly scented throughout the day. Soap up and lather in the shower with this vitamin enriched soap and reap its plentiful skin benefits as it is rich in antioxidants and watch your skin soften and smoothen with every wash.,Beauty Hygiene Bath Hand Wash Khadi Natural Bathing Bars Soaps
2125,Opalware Full Plate - Radiant Carves,"['Kitchen', 'Garden', 'Pets']","['Crockery', 'Cutlery']",LaOpala,629.0,690.0,"['Plates', 'Bowls']",4.0,"It is ideal for serving the guests and home use. Laopala is a brand that is an essential part of our lives. At home or in the office, its the symbol of elegance, creativity and reliability with its wide product range, functionality, innovative perspective, distinctive designs and 80 years of experience. Enhance the beauty of your in-house bar or your kitchen with this perfectly crafted crockery.",Kitchen Garden Pets Crockery Cutlery LaOpala Plates Bowls
2126,Prime Spin Mop Bucket With Stainless Steel Wringer Refills,"['Cleaning', 'Household']","['Mops', 'Brushes', 'Scrubs']",Milton - Spotzero,1499.0,2599.0,"['Mops', 'Wipers']",3.3,"This Prime spin mop comes with a microfiber refill which has the capacity to absorb 3 times more liquid than normal cotton and is more durable. The Handle of the mop is very sturdy, durable and long-lasting. Made of high-grade plastic, it is light, durable and easy to use. A unique way of inbuilt rinser along with solution dispenser function allows you to use just the right amount of water and solution to avoid wastage. It's a quick and easy way to a spotless floor.
The cleaning angle can also be shifted with ease as the mop head is attached with an angular axle. Bucket of the Spin mop is divided into 2 sections for separate wringing and cleaning operation. The Prime Spin mop comes with a handle to lift, steel wringer, drainage plug & liquid dispenser.
Benefits: This mop has extra-absorbent microfibers with a 360-degree spinner. Now cleaning your house is an easy job with this advanced mop. It comes in various colours.
Disclaimer - Since the product is delivered to the customer intact from the manufacturer, the Warranty Card will not have seller stamp on it. The customer can carry the invoice and warranty card to claim the warranty.",Cleaning Household Mops Brushes Scrubs Milton - Spotzero Mops Wipers
2128,Basmati Rice/Basmati Akki - Super,"['Foodgrains', 'Oil', 'Masala']","['Rice', 'Rice Products']",Fortune ,170.0,170.0,['Basmati Rice'],4.3,"Fortune brings to you the most special basmati - Fortune Super Basmati Rice. It is specially aged to help every grain acquire the best basmati characteristic. Every slender grain of super basmati rice is carefully picked, aged, dried, de-husked, processed, graded and sorting machine at our state-of-the-art milling plant. On cooking, it becomes exceptionally long while remaining non-sticky. The result is an irresistible serving that delights everyone’s heart through its appearance and taste. It is best used to prepare pulav, fried rice, risotto and paella.",Foodgrains Oil Masala Rice Rice Products Fortune  Basmati Rice
2129,Moonfils Veg - Choco,"['Bakery', 'Cakes', 'Dairy']","['Cakes', 'Pastries']",Bauli,15.0,15.0,"['Tea Cakes', 'Slice Cakes']",4.1,"Baulis Moonfils are your answer to a sweet, sugary rush with an outer buttery, flaky, viennoiserie pastry which is oven baked with a rich, chocolate cream filling in the center which is 100% vegetarian. Experience it is smooth texture engulf your tastebuds and feel the soft center ooze into your mouth with every bite.",Bakery Cakes Dairy Cakes Pastries Bauli Tea Cakes Slice Cakes
2131,Organic Ginger Sliced,"['Foodgrains', 'Oil', 'Masala']",['Organic Staples'],MeraKisan,56.0,56.0,"['Organic Masalas', 'Spices']",3.8,"MeraKisan Organic Sliced Ginger Root has various applications to include both sweet and savoury cooking. Ginger Root, one of the worlds oldest spices, has a hot, spicy flavour that is sharp and refreshing. It is a ubiquitous spice in Asian cuisines. It is all natural and 100% satisfaction is guaranteed.",Foodgrains Oil Masala Organic Staples MeraKisan Organic Masalas Spices
2132,The Gold Facial Kit,"['Beauty', 'Hygiene']",['Skin Care'],Natures Essence,80.0,80.0,['Face Care'],1.0,"Let your skin experience a magical golden glow with Nature’s Essence Gold Facial Kit. Each kit is enriched with ingredients that lightens skin tone to give your skin a natural golden glow along. The facia routine also ensures softer and smoother skin, making it look more firm and toned. What's best is your skin gets that extra golden glow perfect for when you want to look you best!",Beauty Hygiene Skin Care Natures Essence Face Care
2133,Organic - Cardamom Green/Elakki,"['Foodgrains', 'Oil', 'Masala']","['Masalas', 'Spices']",bb Royal,349.0,599.0,"['Organic Masalas', 'Spices']",4.0,"Cardamom is a spice made from plants in the genera Elettaria and Amomum in the family Zingiberaceae. It gives a great aroma and adds flavours to dishes. It is widely used in the preparation of multiple cuisines in India. They are recognized by their small seed pods, triangular in cross-section and spindle-shaped, with a thin, papery outer shell and small black seeds. It is free from synthetic chemicals and pesticides. 
BB Royal is a premium brand of organic staples by Big Basket. The entire range of products is sourced from the best of farms and products to ensure high-quality standards. All BB Royal products are cleaned and packed in hygienic facilities in high-quality food-grade packaging. There is a no questions asked return policy on all BB Royal products in a bid to provide you nothing but the best!",Foodgrains Oil Masala Masalas Spices bb Royal Organic Masalas Spices
2134,Soap Free Bathing Gel - Relax,['Baby Care'],"['Baby Bath', 'Hygiene']",Chicco,79.0,79.0,['Baby Bath'],4.0,"It gives a soothing and relaxing effect and gently cleanses the baby’s delicate skin, leaving it pleasantly scented and ultra-soft. It’s no tears formula enriched with the soothing properties of sweet floral flowers and glycerine gives relaxing, softening and moisturising properties to baby’s delicate skin.For gentle moisturising baby wash every day100% soap-free, Completely no-tears formula, all ingredients of vegetarian origin",Baby Care Baby Bath Hygiene Chicco Baby Bath
2137,Ultra Power Mosquito Repellant Refill - Floral Fragrance,"['Cleaning', 'Household']","['Fresheners', 'Repellents']",All Out,132.0,134.0,['Air Freshener'],4.1,"All Out Ultra Power+ Floral fragrance refill kills mosquitoes, including those that may carry Dengue. It can be used with All Out Ultra Power+ Slider or Fan Machine. Together, they provide convenient mosquito protection that can be controlled between low to high mode, depending on the intensity of mosquitoes. Once plugged in, it does not need to be replaced daily. Leaves a fresh, floral scent. See the label for detailed precautions and usage directions.",Cleaning Household Fresheners Repellents All Out Air Freshener
2139,Hexa Advanced Soap,"['Beauty', 'Hygiene']","['Bath', 'Hand Wash']",Savlon,213.2,260.0,"['Bathing Bars', 'Soaps']",4.3,"Utilising the expertise from its rich 50-year-old legacy, Savlon presents the Savlon Hexa advanced soap. Savlon Hexa Advanced soap addresses your increased need for germ protection in keeping with the times. The soap offers advanced protection against viruses* and bacteria~ and keeps you protected. Use Savlon Hexa advanced soap, which is enriched with Hexa pro power and protect your family from 99.99% germs. Bring home savlon's trusted protection. *Basis lab study on H1N1 Virus and Rotavirus. Washes away germs. ~Basis lab study on Sample Microbes. Washes away germs.",Beauty Hygiene Bath Hand Wash Savlon Bathing Bars Soaps
